地區,排名,名稱,假名,得分,酒造地區,酒造名稱,價格,詳細頁面連結
niigata,1,あべ,あべ,4.35,新潟,阿部酒造,2145,https://www.saketime.jp/brands/4250/
niigata,2,荷札酒,にふだざけ,4.31,新潟,加茂錦酒造,1980,https://www.saketime.jp/brands/2450/
niigata,3,ゆきのまゆ,旧：醸す森,4.20,新潟,苗場酒造,1000,https://www.saketime.jp/brands/5909/
niigata,4,高千代,たかちよ,4.18,新潟,高千代酒造,1420,https://www.saketime.jp/brands/793/
niigata,5,雅楽代,うたしろ,4.16,新潟,天領盃酒造,1650,https://www.saketime.jp/brands/5496/
niigata,5,菱湖,りょうこ,4.16,新潟,峰乃白梅酒造,1485,https://www.saketime.jp/brands/5499/
niigata,7,村祐,むらゆう,4.12,新潟,村祐酒造,1540,https://www.saketime.jp/brands/760/
niigata,8,山間,やんま,4.07,新潟,新潟第一酒造,1800,https://www.saketime.jp/brands/796/
niigata,9,鶴齢,かくれい,4.00,新潟,青木酒造,1463,https://www.saketime.jp/brands/717/
niigata,10,〆張鶴,しめはりつる,3.97,新潟,宮尾酒造,1180,https://www.saketime.jp/brands/749/
niigata,11,久保田,くぼた,3.90,新潟,朝日酒造,1000,https://www.saketime.jp/brands/711/
niigata,12,菊水,きくすい,3.85,新潟,菊水酒造,1650,https://www.saketime.jp/brands/674/
niigata,13,至,いたる,3.84,新潟,逸見酒造,1128,https://www.saketime.jp/brands/4246/
niigata,14,八海山,はっかいさん,3.81,新潟,八海醸造,1039,https://www.saketime.jp/brands/727/
niigata,15,高龗,こうりゅう,3.80,新潟,高千代酒造,4980,https://www.saketime.jp/brands/7625/
niigata,15,FOMALHAUT,フォーマルハウト,3.80,新潟,阿部酒造,2420,https://www.saketime.jp/brands/4991/
niigata,17,麒麟山,きりんざん,3.77,新潟,麒麟山酒造,1100,https://www.saketime.jp/brands/673/
niigata,17,加茂錦,かもにしき,3.77,新潟,加茂錦酒造,2970,https://www.saketime.jp/brands/6297/
niigata,19,北雪,ほくせつ,3.75,新潟,北雪酒造,1210,https://www.saketime.jp/brands/750/
niigata,20,金鶴,きんつる,3.68,新潟,加藤酒造店,1100,https://www.saketime.jp/brands/751/
niigata,20,VEGA,ベガ,3.68,新潟,阿部酒造,2420,https://www.saketime.jp/brands/4932/
niigata,20,越路乃紅梅,こしじのこうばい,3.68,新潟,頚城酒造,1430,https://www.saketime.jp/brands/2461/
yamanashi,1,七賢,しちけん,4.05,山梨,山梨銘醸,1018,https://www.saketime.jp/brands/654/
yamanashi,2,旦（DAN）,だん,3.94,山梨,笹一酒造,1650,https://www.saketime.jp/brands/4200/
yamanashi,3,青煌,せいこう,3.47,山梨,武の井酒造,1540,https://www.saketime.jp/brands/667/
yamanashi,4,笹一,ささいち,3.43,山梨,笹一酒造,1320,https://www.saketime.jp/brands/660/
yamanashi,5,甲斐の開運,かいのかいうん,3.34,山梨,井出醸造店,1016,https://www.saketime.jp/brands/661/
yamanashi,6,春鶯囀,しゅんのうてん,3.26,山梨,萬屋醸造店,1145,https://www.saketime.jp/brands/659/
yamanashi,7,武の井,たけのい,3.15,山梨,武の井酒造,1650,https://www.saketime.jp/brands/652/
yamanashi,8,太冠,たいかん,3.14,山梨,太冠酒造,1537,https://www.saketime.jp/brands/650/
yamanashi,9,甲斐男山,かいおとこやま,3.08,山梨,八巻酒造店,1200,https://www.saketime.jp/brands/2588/
yamanashi,10,谷桜,たにざくら,3.07,山梨,谷櫻酒造,1337,https://www.saketime.jp/brands/653/
yamanashi,10,櫻守,さくらもり,3.07,山梨,谷櫻酒造,1350,https://www.saketime.jp/brands/4196/
yamanashi,10,興五右衛門,よごうえもん,3.07,山梨,井出醸造店,,https://www.saketime.jp/brands/4937/
yamanashi,13,六波,ろくは,3.06,山梨,養老酒造,,https://www.saketime.jp/brands/6358/
yamanashi,14,榊正宗,さかきまさむね,3.05,山梨,横内酒造店,,https://www.saketime.jp/brands/651/
yamanashi,15,風林火山,ふうりんかざん,3.04,山梨,太冠酒造,1320,https://www.saketime.jp/brands/4193/
yamanashi,15,猫芸者,ねこげいしゃ,3.04,山梨,笹一酒造,,https://www.saketime.jp/brands/6129/
yamanashi,15,鷹座巣,たかざす,3.04,山梨,萬屋醸造店,1420,https://www.saketime.jp/brands/2592/
yamanashi,18,福徳長,ふくとくちょう,3.03,山梨,福徳長酒類 韮崎工場,1067,https://www.saketime.jp/brands/662/
yamanashi,18,櫂,かい,3.03,山梨,養老酒造,,https://www.saketime.jp/brands/665/
yamanashi,18,甲州利右衛門,こうしゅうりうえもん,3.03,山梨,太冠酒造,4400,https://www.saketime.jp/brands/4194/
nagano,1,信州亀齢,しんしゅうきれい,4.51,長野,岡崎酒造,12500,https://www.saketime.jp/brands/4854/
nagano,2,ソガペールエフィス,ソガペール エ フィス,4.36,長野,小布施ワイナリー,3480,https://www.saketime.jp/brands/3402/
nagano,3,川中島 幻舞,かわなかじま げんぶ,4.35,長野,酒千蔵野,1705,https://www.saketime.jp/brands/3480/
nagano,4,亀の海,かめのうみ,4.34,長野,土屋酒造店,1078,https://www.saketime.jp/brands/850/
nagano,5,御湖鶴,みこつる,4.31,長野,諏訪御湖鶴酒造場,1540,https://www.saketime.jp/brands/913/
nagano,6,山三,やまさん,4.30,長野,山三酒造,1540,https://www.saketime.jp/brands/7386/
nagano,7,大信州,だいしんしゅう,4.24,長野,大信州酒造,1320,https://www.saketime.jp/brands/839/
nagano,8,十六代九郎右衛門,じゅうろくだいくろうえもん,4.16,長野,湯川酒造店,1738,https://www.saketime.jp/brands/954/
nagano,9,Beau Michelle,ボー・ミッシェル,4.15,長野,伴野酒造,1595,https://www.saketime.jp/brands/4916/
nagano,10,真澄,ますみ,4.04,長野,宮坂醸造,1320,https://www.saketime.jp/brands/833/
nagano,11,十九,じゅうく,3.99,長野,尾澤酒造場,1241,https://www.saketime.jp/brands/888/
nagano,12,大雪渓,だいせっけい,3.96,長野,大雪渓酒造,1265,https://www.saketime.jp/brands/841/
nagano,13,鼎,かなえ,3.95,長野,信州銘醸,1750,https://www.saketime.jp/brands/2637/
nagano,14,佐久乃花,さくのはな,3.92,長野,佐久の花酒造,1690,https://www.saketime.jp/brands/890/
nagano,15,夜明け前,よあけまえ,3.88,長野,小野酒造店,1595,https://www.saketime.jp/brands/863/
nagano,16,豊香,ほうか,3.82,長野,豊島屋,1540,https://www.saketime.jp/brands/920/
nagano,16,西之門,にしのもん,3.82,長野,よしのや,1980,https://www.saketime.jp/brands/2594/
nagano,18,甍,いらか,3.81,長野,甍酒蔵,2860,https://www.saketime.jp/brands/12624/
nagano,19,明鏡止水,めいきょうしすい,3.78,長野,大澤酒造,1375,https://www.saketime.jp/brands/856/
nagano,20,黒澤,くろさわ,3.77,長野,黒澤酒造,1140,https://www.saketime.jp/brands/897/
nagano,20,信濃鶴,しなのつる,3.77,長野,酒造長生社,1271,https://www.saketime.jp/brands/866/
ishikawa,1,吉田蔵u,よしだぐらゆー,4.20,石川,吉田酒造店,1870,https://www.saketime.jp/brands/4352/
ishikawa,2,手取川,てどりがわ,4.11,石川,吉田酒造店,1430,https://www.saketime.jp/brands/996/
ishikawa,3,菊姫,きくひめ,4.08,石川,菊姫,1100,https://www.saketime.jp/brands/997/
ishikawa,4,天狗舞,てんぐまい,4.05,石川,車多酒造,1210,https://www.saketime.jp/brands/990/
ishikawa,5,農口尚彦研究所,のぐちなおひこけんきゅうじょ,4.01,石川,農口尚彦研究所,2200,https://www.saketime.jp/brands/5002/
ishikawa,6,宗玄,そうげん,3.99,石川,宗玄酒造,1100,https://www.saketime.jp/brands/1014/
ishikawa,7,奥能登の白菊,おくのとのしらぎく,3.94,石川,白藤酒造店,2200,https://www.saketime.jp/brands/1009/
ishikawa,8,遊穂,ゆうほ,3.77,石川,御祖酒造,1430,https://www.saketime.jp/brands/1018/
ishikawa,9,竹葉,ちくは,3.73,石川,数馬酒造,1430,https://www.saketime.jp/brands/1008/
ishikawa,10,加賀鳶,かがとび,3.62,石川,福光屋,1257,https://www.saketime.jp/brands/995/
ishikawa,11,池月,いけづき,3.56,石川,鳥屋酒造,1109,https://www.saketime.jp/brands/1003/
ishikawa,12,谷泉,たにいずみ,3.54,石川,鶴野酒造店,1540,https://www.saketime.jp/brands/1021/
ishikawa,13,常きげん,じょうきげん,3.47,石川,鹿野酒造,1452,https://www.saketime.jp/brands/1001/
ishikawa,14,五凛,ごりん,3.43,石川,車多酒造,2650,https://www.saketime.jp/brands/1019/
ishikawa,15,獅子の里,ししのさと,3.40,石川,松浦酒造店,1925,https://www.saketime.jp/brands/1002/
ishikawa,16,福正宗,ふくまさむね,3.38,石川,福光屋,1059,https://www.saketime.jp/brands/994/
ishikawa,17,春心,はるごころ,3.36,石川,西出酒造,2150,https://www.saketime.jp/brands/4737/
ishikawa,17,萬歳楽,まんざいらく,3.36,石川,小堀酒造店,1500,https://www.saketime.jp/brands/1000/
ishikawa,19,神泉,しんせん,3.35,石川,東酒造,1375,https://www.saketime.jp/brands/1024/
ishikawa,19,観音下,かながそ,3.35,石川,農口尚彦研究所,1650,https://www.saketime.jp/brands/6413/
toyama,1,勝駒,かちこま,4.23,富山,清都酒造場,8300,https://www.saketime.jp/brands/967/
toyama,2,羽根屋,はねや,4.19,富山,富美菊酒造,1720,https://www.saketime.jp/brands/978/
toyama,3,満寿泉,ますいずみ,3.87,富山,枡田酒造店,1298,https://www.saketime.jp/brands/963/
toyama,3,林,はやし,3.87,富山,林酒造場,1903,https://www.saketime.jp/brands/4904/
toyama,5,千代鶴,ちよづる,3.69,富山,千代鶴酒造,,https://www.saketime.jp/brands/4997/
toyama,6,三笑楽,さんしょうらく,3.67,富山,三笑楽酒造,1088,https://www.saketime.jp/brands/971/
